Bus
Number,Name,Area Name,Sub Num,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
101,ABEL,1,1,138.00,1.06095,146.412,-67.26,108.00,22.00,0.00,0.00,,0.00,0.00,1,11
102,ADAMS,1,2,138.00,1.06089,146.402,-67.42,97.00,20.00,0.00,0.00,,0.00,0.00,1,12
103,ADLER,1,3,138.00,0.92294,127.366,-61.56,180.00,37.00,0.00,0.00,,0.00,0.00,1,11
104,AGRICOLA,1,4,138.00,1.00662,138.913,-69.60,74.00,15.00,0.00,0.00,,0.00,0.00,1,11
105,AIKEN,1,5,138.00,1.03783,143.220,-70.05,71.00,14.00,,,,0.00,0.00,1,11
106,ALBER,1,6,138.00,1.02803,141.869,-72.60,136.00,28.00,,,-105.69,0.00,0.00,1,12
107,ALDER,1,7,138.00,1.00707,138.976,-75.84,125.00,25.00,0.00,0.00,,0.00,0.00,1,12
108,ALGER,1,8,138.00,0.98072,135.339,-76.13,171.00,35.00,,,,0.00,0.00,1,12
109,ALI,1,9,138.00,0.99662,137.534,-67.19,175.00,36.00,,,,0.00,0.00,1,13
110,ALLEN,1,9,138.00,1.04119,143.685,-69.73,195.00,40.00,,,,0.00,0.00,1,13
111,ANNA,1,9,230.00,1.01801,234.143,-60.98,,,,,,0.00,0.00,1,13
112,ARCHER,1,9,230.00,1.00886,232.037,-61.17,,,,,,0.00,0.00,1,13
113,ARNE,1,10,230.00,1.02607,235.995,-59.60,265.00,54.00,0.00,0.00,,0.00,0.00,1,14
114,ARNOLD,1,11,230.00,1.05535,242.731,-55.17,194.00,39.00,0.00,0.00,,0.00,0.00,1,16
115,ARTHUR,1,12,230.00,0.88570,203.710,-33.67,317.00,64.00,0.00,0.00,,0.00,0.00,1,16
116,ASSER,1,13,230.00,0.92432,212.594,-37.84,100.00,20.00,0.00,0.00,,0.00,0.00,1,16
117,ASTON,1,14,230.00,0.90638,208.467,-28.06,,,,,,0.00,0.00,1,17
118,ASTOR,1,15,230.00,0.88898,204.466,-24.37,333.00,68.00,0.00,0.00,,0.00,0.00,1,17
119,ATTAR,1,16,230.00,0.97013,223.129,-44.49,181.00,37.00,0.00,0.00,,0.00,0.00,1,15
120,ATTILA,1,17,230.00,1.02766,236.361,-47.58,128.00,26.00,,,,0.00,0.00,1,15
121,ATTLEE,1,18,230.00,0.87981,202.357,-19.42,,,0.00,0.00,,0.00,0.00,1,17
122,AUBREY,1,19,230.00,1.05420,242.467,-16.51,,,0.00,0.00,,0.00,0.00,1,17
123,AUSTEN,1,20,230.00,1.06319,244.534,-48.42,,,0.00,0.00,,0.00,0.00,1,15
124,AVERY,1,3,230.00,0.85991,197.778,-44.51,,,,,,0.00,0.00,1,16
201,BACH,2,21,138.00,1.07240,147.991,-84.69,108.00,22.00,0.00,0.00,,0.00,0.00,2,21
202,BACON,2,22,138.00,1.07240,147.992,-84.75,97.00,20.00,0.00,0.00,,0.00,0.00,2,22
203,BAFFIN,2,23,138.00,1.01767,140.439,-80.11,180.00,37.00,,,,0.00,0.00,2,21
204,BAILEY,2,24,138.00,1.03119,142.305,-86.51,74.00,15.00,,,,0.00,0.00,2,21
205,BAIN,2,25,138.00,1.05270,145.273,-87.07,71.00,14.00,,,,0.00,0.00,2,21
206,BAJER,2,26,138.00,1.04501,144.212,-89.35,136.00,28.00,,,-109.20,0.00,0.00,2,22
207,BAKER,2,27,138.00,0.95873,132.304,-94.51,125.00,25.00,0.00,0.00,,0.00,0.00,2,22
208,BALCH,2,28,138.00,0.96191,132.744,-93.90,171.00,35.00,,,,0.00,0.00,2,22
209,BALZAC,2,29,138.00,1.03152,142.350,-83.88,175.00,36.00,,,,0.00,0.00,2,23
210,BANKS,2,29,138.00,1.05936,146.192,-86.38,195.00,40.00,,,,0.00,0.00,2,23
211,BARDEEN,2,29,230.00,1.04599,240.577,-77.69,,,,,,0.00,0.00,2,23
212,BARKLA,2,29,230.00,1.03745,238.612,-76.91,,,0.00,0.00,,0.00,0.00,2,23
213,BARLOW,2,30,230.00,1.06905,245.882,-73.09,265.00,54.00,0.00,0.00,,0.00,0.00,2,24
214,BARRY,2,31,230.00,1.07157,246.460,-74.74,194.00,39.00,0.00,0.00,,0.00,0.00,2,26
215,BARTON,2,32,230.00,1.05921,243.619,-63.01,317.00,64.00,0.00,0.00,,0.00,0.00,2,26
216,BASOV,2,33,230.00,1.06492,244.933,-64.26,100.00,20.00,0.00,0.00,,0.00,0.00,2,26
217,BATES,2,34,230.00,1.06261,244.401,-59.22,,,,,,0.00,0.00,2,27
218,BAYLE,2,35,230.00,1.06463,244.866,-59.43,333.00,68.00,0.00,0.00,,0.00,0.00,2,27
219,BEDE,2,36,230.00,1.06035,243.880,-66.82,181.00,37.00,,,,0.00,0.00,2,25
220,BEETHOVEN,2,37,230.00,1.06695,245.398,-67.17,128.00,26.00,,,,0.00,0.00,2,25
221,BEHRING,2,38,230.00,1.06991,246.079,-58.61,,,0.00,0.00,,0.00,0.00,2,27
222,BELL,2,39,230.00,1.06957,246.001,-52.37,,,0.00,0.00,,0.00,0.00,2,27
223,BLOCH,2,40,230.00,1.07376,246.964,-66.63,,,0.00,0.00,,0.00,0.00,2,25
224,BORDET,2,23,230.00,1.02059,234.735,-69.25,,,,,,0.00,0.00,2,26
301,CABELL,3,41,138.00,1.13395,156.485,-117.75,108.00,22.00,0.00,0.00,,0.00,0.00,3,31
302,CABOT,3,42,138.00,1.13501,156.631,-117.87,97.00,20.00,0.00,0.00,,0.00,0.00,3,32
303,CAESAR,3,43,138.00,1.02588,141.571,-109.95,180.00,37.00,0.00,0.00,,0.00,0.00,3,31
304,CAINE,3,44,138.00,1.05320,145.341,-117.72,74.00,15.00,,,,0.00,0.00,3,31
305,CALVIN,3,45,138.00,1.08331,149.497,-118.60,71.00,14.00,,,,0.00,0.00,3,31
306,CAMUS,3,46,138.00,1.06192,146.545,-120.10,136.00,28.00,,,-112.77,0.00,0.00,3,32
307,CAREW,3,47,138.00,1.06239,146.610,-125.55,125.00,25.00,0.00,0.00,,0.00,0.00,3,32
308,CARREL,3,48,138.00,1.02830,141.905,-124.45,171.00,35.00,0.00,0.00,,0.00,0.00,3,32
309,CARTER,3,49,138.00,1.01368,139.888,-113.27,175.00,36.00,0.00,0.00,,0.00,0.00,3,33
310,CARUSO,3,49,138.00,1.05091,145.025,-116.25,195.00,40.00,0.00,0.00,,0.00,0.00,3,33
311,CARY,3,49,230.00,1.00806,231.854,-106.05,,,,,,0.00,0.00,3,33
312,CAXTON,3,49,230.00,0.93637,215.365,-104.46,,,0.00,0.00,,0.00,0.00,3,33
313,CECIL,3,50,230.00,0.94599,217.578,-101.72,265.00,54.00,0.00,0.00,,0.00,0.00,3,34
314,CHAIN,3,51,230.00,1.08994,250.685,-101.24,194.00,39.00,0.00,0.00,,0.00,0.00,3,36
315,CHASE,3,52,230.00,1.06255,244.386,-87.48,317.00,64.00,0.00,0.00,,0.00,0.00,3,36
316,CHIFA,3,53,230.00,1.06740,245.502,-87.96,100.00,20.00,0.00,0.00,,0.00,0.00,3,36
317,CHUHSI,3,54,230.00,1.07219,246.604,-83.41,,,0.00,0.00,,0.00,0.00,3,37
318,CLARK,3,55,230.00,1.07543,247.349,-82.01,333.00,68.00,0.00,0.00,,0.00,0.00,3,37
319,CLAY,3,56,230.00,0.97963,225.315,-87.42,181.00,37.00,0.00,0.00,,0.00,0.00,3,35
320,CLIVE,3,57,230.00,0.91488,210.423,-84.50,128.00,26.00,0.00,0.00,,0.00,0.00,3,35
321,COBB,3,58,230.00,1.08429,249.387,-81.59,,,0.00,0.00,,0.00,0.00,3,37
322,COLE,3,59,230.00,1.08409,249.341,-75.59,,,0.00,0.00,,0.00,0.00,3,37
323,COMTE,3,60,230.00,0.88528,203.614,-81.65,,,0.00,0.00,,0.00,0.00,3,35
