X,Y,Bus ID,Bus Name,BaseKV,Bus Type,MW Load,MVAR Load,V Mag,V Angle,MW Shunt G,MVAR Shunt B,Area,Sub Area,Zone
-81.1508789811773,36.3140254825042,"101",Abel,138,PV,108,22,1.04777,-7.74152,0,0,"1",11,11
-81.1865545951894,36.3312873499764,"102",Adams,138,PV,97,20,1.04783,-7.81784,0,0,"1",11,12
-80.5065023309459,36.863027341388,"103",Adler,138,PQ,180,37,1.01085,-7.2109,0,0,"1",11,11
-80.8386222537682,36.0386658968893,"104",Agricola,138,PQ,74,15,1.01765,-10.56614,0,0,"1",11,11
-80.8440401765158,36.2698360570583,"105",Aiken,138,PQ,71,14,1.03568,-10.70887,0,0,"1",11,11
-80.6663570592202,36.3595026232333,"106",Alber,138,PQ,136,28,1.03242,-13.27944,0,-100,"1",11,12
-80.2404812914984,35.3747516175529,"107",Alder,138,PV,125,25,1.03745,-11.27673,0,0,"1",11,12
-80.3840566145275,35.5739870732379,"108",Alger,138,PQ,171,35,1.01024,-13.74967,0,0,"1",11,12
-80.4454101090336,36.3390531883229,"109",Ali,138,PQ,175,36,1.0261,-8.81524,0,0,"1",11,13
-80.4611103400728,36.3322330944424,"110",Allen,138,PQ,195,40,1.05,-10.62063,0,0,"1",11,13
-80.4623097169355,36.3438826973692,"111",Anna,230,PQ,0,0,1.02764,-3.91674,0,0,"1",11,13
-80.4494493382079,36.3491281017764,"112",Archer,230,PQ,0,0,1.02024,-2.42424,0,0,"1",11,13
-80.1346793727913,36.034426114396,"113",Arne,230,Ref,265,54,1.03943,0,0,0,"1",12,14
-80.2263530976613,36.823128460464,"114",Arnold,230,PV,194,39,1.04401,-1.73056,0,0,"1",12,16
-80.1063136128646,37.387635225553,"115",Arthur,230,PV,317,64,1.04335,7.9597,0,0,"1",12,16
-79.99312535248,37.2816277607556,"116",Asser,230,PV,100,20,1.04565,7.56929,0,0,"1",12,16
-79.8533191676682,37.5817213541631,"117",Aston,230,PQ,0,0,1.04783,11.43417,0,0,"1",12,17
-79.7745401596311,37.7233699265208,"118",Astor,230,PV,333,68,1.05,12.52457,0,0,"1",12,17
-79.8028511564689,37.1847229958875,"119",Attar,230,PQ,181,37,1.03962,6.65777,0,0,"1",12,15
-79.583761842659,36.8616496748095,"120",Attila,230,PQ,128,26,1.04399,7.7406,0,0,"1",12,15
-79.6137954729634,37.9420221282196,"121",Attlee,230,PV,0,0,1.05,13.08653,0,0,"1",12,17
-79.993360889459,38.5915265992174,"122",Aubrey,230,PV,0,0,1.05,18.94978,0,0,"1",12,17
