X,Y,Bus ID,Bus Name,BaseKV,Bus Type,MW Load,MVAR Load,V Mag,V Angle,MW Shunt G,MVAR Shunt B,Area,Sub Area,Zone
-122.993476806819,47.8354100162894,"101",Abel,138,PV,108,22,1.04777,-7.74152,0,0,"1",11,11
-123.003185291819,47.8738348366894,"102",Adams,138,PV,97,20,1.04783,-7.81784,0,0,"1",11,12
-122.158719656819,47.6946804566894,"103",Adler,138,PQ,180,37,1.01085,-7.2109,0,0,"1",11,11
-123.003699731819,47.4192097555894,"104",Agricola,138,PQ,74,15,1.01765,-10.56614,0,0,"1",11,11
-122.830095688819,47.5719534398894,"105",Aiken,138,PQ,71,14,1.03568,-10.70887,0,0,"1",11,11
-122.647194607819,47.4934768329894,"106",Alber,138,PQ,136,28,1.03242,-13.27944,0,-100,"1",11,12
-123.127809976819,46.5342513225894,"107",Alder,138,PV,125,25,1.03745,-11.27673,0,0,"1",11,12
-123.067475201819,46.7723024832894,"108",Alger,138,PQ,171,35,1.01024,-13.74967,0,0,"1",11,12
-122.520837821819,47.3110770061894,"109",Ali,138,PQ,175,36,1.0261,-8.81524,0,0,"1",11,13
-122.536154230819,47.3187202090894,"110",Allen,138,PQ,195,40,1.05,-10.62063,0,0,"1",11,13
-122.528001061819,47.3271272054894,"111",Anna,230,PQ,0,0,1.02764,-3.91674,0,0,"1",11,13
-122.515716356819,47.3206472647894,"112",Archer,230,PQ,0,0,1.02024,-2.42424,0,0,"1",11,13
-122.554461831819,46.8772329436894,"113",Arne,230,Ref,265,54,1.03943,0,0,0,"1",12,14
-122.009207516819,47.4544271869894,"114",Arnold,230,PV,194,39,1.04401,-1.73056,0,0,"1",12,16
-121.499610352819,47.7253295608894,"115",Arthur,230,PV,317,64,1.04335,7.9597,0,0,"1",12,16
-121.508060770819,47.5704820380894,"116",Asser,230,PV,100,20,1.04565,7.56929,0,0,"1",12,16
-121.188310057819,47.6562807306894,"117",Aston,230,PQ,0,0,1.04783,11.43417,0,0,"1",12,17
-121.029162785819,47.6869824565894,"118",Astor,230,PV,333,68,1.05,12.52457,0,0,"1",12,17
-121.459988231819,47.3624343653894,"119",Attar,230,PQ,181,37,1.03962,6.65777,0,0,"1",12,15
-121.566648857819,46.9869346861894,"120",Attila,230,PQ,128,26,1.04399,7.7406,0,0,"1",12,15
-120.758340788819,47.7043918086894,"121",Attlee,230,PV,0,0,1.05,13.08653,0,0,"1",12,17
-120.504771444819,48.4126492131894,"122",Aubrey,230,PV,0,0,1.05,18.94978,0,0,"1",12,17
-121.760330360819,46.8495130080894,"123",Austen,230,PV,0,0,1.05,9.05617,0,0,"1",12,15
-122.172630505819,47.6885482183894,"124",Avery,230,PQ,0,0,1.01155,2.38339,0,0,"1",12,16
-123.107622842819,44.9758496804894,"201",Bach,138,PV,108,22,1.04841,-10.68973,0,0,"2",21,21
-123.083120309819,44.9415507166894,"202",Bacon,138,PV,97,20,1.04844,-10.75906,0,0,"2",21,22
-122.853185154819,45.8771110165894,"203",Baffin,138,PQ,180,37,1.01886,-10.47453,0,0,"2",21,21
-122.607250630819,45.0412209655894,"204",Bailey,138,PQ,74,15,1.0189,-13.48479,0,0,"2",21,21
-122.846077600819,45.1522837702894,"205",Bain,138,PQ,71,14,1.03603,-13.61187,0,0,"2",21,21
-122.938771996819,45.4441161060894,"206",Bajer,138,PQ,136,28,1.03259,-16.15672,0,-100,"2",21,22
-123.746269397819,45.1790466441894,"207",Baker,138,PV,125,25,1.03973,-13.46606,0,0,"2",21,22
-123.511417664819,45.2976990711894,"208",Balch,138,PQ,171,35,1.01203,-16.22359,0,0,"2",21,22
-122.678286281819,45.4264059531894,"209",Balzac,138,PQ,175,36,1.02781,-11.72409,0,0,"2",21,23
-122.666237332819,45.4436898712894,"210",Banks,138,PQ,195,40,1.05,-13.47986,0,0,"2",21,23
-122.661567162819,45.4300284509894,"211",Bardeen,230,PQ,0,0,1.02735,-6.93336,0,0,"2",21,23
-122.682953710819,45.4400678955894,"212",Barkla,230,PQ,0,0,1.01921,-5.25334,0,0,"2",21,23
-122.206222349819,45.0854178755894,"213",Barlow,230,PV,265,54,1.03752,-3.2151,0,0,"2",22,24
-122.336550357819,45.6639021486894,"214",Barry,230,PV,194,39,1.04335,-4.68519,0,0,"2",22,26
-122.253344469819,46.0829223900894,"215",Barton,230,PV,317,64,1.04327,4.63351,0,0,"2",22,26
-122.098356134819,45.9700237100894,"216",Basov,230,PV,100,20,1.04556,4.70009,0,0,"2",22,26
-121.907955210819,46.1437643781894,"217",Bates,230,PQ,0,0,1.04847,8.81839,0,0,"2",22,27
-121.751236520819,46.1166063399894,"218",Bayle,230,PV,333,68,1.05,9.99473,0,0,"2",22,27
-121.849937062819,45.8122960771894,"219",Bede,230,PQ,181,37,1.03946,4.21233,0,0,"2",22,25
-121.382531895819,45.5848177309894,"220",Beethoven,230,PQ,128,26,1.0438,5.66449,0,0,"2",22,25
-121.631176356819,45.9151916783894,"221",Behring,230,PV,0,0,1.05,10.63209,0,0,"2",22,27
-121.538909283819,44.9005322374894,"222",Bell,230,PV,0,0,1.05,16.43203,0,0,"2",22,27
-121.292673197819,45.4071636310894,"223",Bloch,230,PV,0,0,1.05,7.18151,0,0,"2",22,25
-122.868866270819,45.8750757640894,"224",Bordet,230,PQ,0,0,1.01456,-0.96005,0,0,"2",22,26
-118.007353411819,46.1839310811894,"301",Cabell,138,PV,108,22,1.0486,-9.34821,0,0,"3",31,31
-117.964259243819,46.2015763954894,"302",Cabot,138,PV,97,20,1.04864,-9.431,0,0,"3",31,32
-118.785568851819,46.0139707502894,"303",Caesar,138,PQ,180,37,1.01045,-8.57689,0,0,"3",31,31
-118.265533469819,46.5994218245894,"304",Caine,138,PQ,74,15,1.01785,-12.18784,0,0,"3",31,31
-118.318631449819,46.3576283992894,"305",Calvin,138,PQ,71,14,1.03609,-12.35005,0,0,"3",31,31
-118.552919084819,46.3443456375894,"306",Camus,138,PQ,136,28,1.0326,-14.94205,0,-100,"3",31,32
-117.950940820819,47.1302476545894,"307",Carew,138,PV,125,25,1.03804,-12.54795,0,0,"3",31,32
-118.174860859819,47.0067954368894,"308",Carrel,138,PQ,171,35,1.01056,-15.18287,0,0,"3",31,32
-118.701776751819,46.4957553444894,"309",Carter,138,PQ,175,36,1.02579,-10.44617,0,0,"3",31,33
